p,n,residues,pool,hjsw,primary,primary_method,majority,minority,minority_covered,coverage_frac,color_sizes,bad_lines,lb_disjoint,surplus,floor_m_over_3,b1_lb_ge_m3,b2_m3_ge_surplus,implies_B,lb_minus_surplus,runtime_s
17,34,1|2,128,48,51,warm_hjsw,26,25,22,0.8800,"26,25",30,9,3,8,1,1,1,6,0.035
17,34,1|3,128,48,48,warm_hjsw,26,22,20,0.9091,"26,22",27,10,0,7,1,1,1,10,0.035
17,34,1|2|3,192,48,52,exact,21,31,25,0.8065,"21,19,12",28,12,4,10,1,1,1,8,0.035
17,34,1|2|16,192,48,56,exact,24,32,31,0.9688,"24,21,11",39,14,8,10,1,1,1,6,0.035
17,34,2|3|5,192,48,54,warm_hjsw,20,34,34,1.0000,"20,19,15",41,15,6,11,1,1,1,9,0.035
19,38,1|2,144,54,58,exact,30,28,26,0.9286,"30,28",43,13,4,9,1,1,1,9,0.035
19,38,1|3,144,54,59,exact,32,27,27,1.0000,"32,27",42,11,5,9,1,1,1,6,0.035
19,38,1|2|3,216,54,61,exact,24,37,34,0.9189,"24,19,18",42,13,7,12,1,1,1,6,0.035
19,38,1|2|18,216,54,60,exact,24,36,33,0.9167,"24,24,12",49,16,6,12,1,1,1,10,0.035
19,38,2|3|5,216,54,62,warm_hjsw,24,38,38,1.0000,"24,20,18",58,17,8,12,1,1,1,9,0.035
23,46,1|2,176,66,66,exact,33,33,32,0.9697,"33,33",43,13,0,11,1,1,1,13,0.035
23,46,1|3,176,66,69,exact,39,30,28,0.9333,"39,30",42,15,3,10,1,1,1,12,0.035
23,46,1|2|3,264,66,73,warm_hjsw,26,47,45,0.9574,"26,24,23",67,20,7,15,1,1,1,13,0.035
23,46,1|2|22,264,66,76,exact,28,48,47,0.9792,"28,26,22",64,16,10,16,1,1,1,6,0.035
23,46,2|3|5,264,66,77,exact,28,49,48,0.9796,"28,26,23",64,20,11,16,1,1,1,9,0.035
29,58,1|2,224,84,83,warm_hjsw,49,34,30,0.8824,"49,34",53,17,-1,11,1,1,1,18,0.035
29,58,1|3,224,84,89,exact,50,39,36,0.9231,"50,39",59,21,5,13,1,1,1,16,0.035
