p,n,hjsw_size,hjsw_ratio,subset_size,subset_ratio,subset_indiv_ok,union_size,union_ratio,union_family,union_c1,union_extras,best_method,best_ratio,beats_1_55,delta_union_minus_subset,runtime_s
5,10,12,1.200000,16,1.600000,10,16,1.600000,hyperbola_union_pm1,2,,subset,1.600000,1,0,0.003
7,14,18,1.285714,23,1.642857,10,22,1.571429,hyperbola_union_pm1,2,,subset,1.642857,1,-1,0.007
17,34,48,1.411765,53,1.558824,8,54,1.588235,hyperbola_union_chain,,2,union,1.588235,1,1,0.069
19,38,54,1.421053,59,1.552632,8,60,1.578947,hyperbola_union_pm1,3,,union,1.578947,1,1,0.093
31,62,90,1.451613,98,1.580645,13,98,1.580645,hyperbola_union_pm1,2,,subset,1.580645,1,0,0.372
37,74,108,1.459459,115,1.554054,15,116,1.567568,hyperbola_union_pm1,3,,union,1.567568,1,1,0.582
61,122,180,1.475410,192,1.573770,12,192,1.573770,hyperbola_union_pm1,2,,subset,1.573770,1,0,2.419
67,134,198,1.477612,210,1.567164,19,210,1.567164,hyperbola_union_pm1,3,,subset,1.567164,1,0,3.156
71,142,210,1.478873,219,1.542254,18,221,1.556338,hyperbola_union_pm1,69,,union,1.556338,1,2,3.634
83,166,246,1.481928,258,1.554217,16,258,1.554217,hyperbola_union_pm1,2,,subset,1.554217,1,0,5.751
97,194,288,1.484536,303,1.561856,20,303,1.561856,hyperbola_union_pm1,2,,subset,1.561856,1,0,9.428
107,214,318,1.485981,334,1.560748,24,334,1.560748,hyperbola_union_pm1,53,,subset,1.560748,1,0,12.728
109,218,324,1.486239,337,1.545872,30,338,1.550459,hyperbola_union_pm1,2,,union,1.550459,1,1,13.065
139,278,414,1.489209,435,1.564748,23,435,1.564748,hyperbola_union_pm1,2,,subset,1.564748,1,0,28.115
151,302,450,1.490066,472,1.562914,35,472,1.562914,hyperbola_union_pm1,5,,subset,1.562914,1,0,36.024
167,334,498,1.491018,522,1.562874,39,522,1.562874,hyperbola_union_pm1,83,,subset,1.562874,1,0,50.118
173,346,516,1.491329,540,1.560694,37,539,1.557803,hyperbola_union_pm1,5,,subset,1.560694,1,-1,55.042
181,362,540,1.491713,564,1.558011,40,562,1.552486,hyperbola_union_pm1,2,,subset,1.558011,1,-2,63.650
